name,price,url,city,params,year,mileage,engine_volume,horse_power,date
"Toyota Voxy, 2014",2050000,https://auto.drom.ru/moscow/toyota/voxy/862755300.html,Москва,"1.8 л (99 л.с.) | , | гибрид | , | вариатор | , | передний | , | 170 000 км | 1.8 л (99 л.с.), | гибрид, | вариатор, | передний, | 170 000 км",,170000.0,1.8,8.0,4 часа назад
"Haval M6, 2024",2179000,https://auto.drom.ru/moscow/haval/m6/862785207.html,Москва,"1.5 л (143 л.с.) | , | бензин | , | механика | , | передний | 1.5 л (143 л.с.), | бензин, | механика, | передний",,,1.5,5.0,4 часа назад
"Changan Lamore, 2024",2869900,https://auto.drom.ru/moscow/changan/lamore/863156618.html,Москва,"1.5 л (181 л.с.) | , | бензин | , | робот | , | передний | 1.5 л (181 л.с.), | бензин, | робот, | передний",,,1.5,5.0,4 часа назад
"Cadillac Escalade, 2025",21790000,https://auto.drom.ru/moscow/cadillac/escalade/862328995.html,Москва,"6.2 л (420 л.с.) | , | бензин | , | АКПП | , | 4WD | , | 30 км | 6.2 л (420 л.с.), | бензин, | АКПП, | 4WD, | 30 км",,30.0,6.2,2.0,4 часа назад
"Hyundai i40, 2015",1545000,https://auto.drom.ru/moscow/hyundai/i40/862416274.html,Москва,"1.7 л (141 л.с.) | , | дизель | , | робот | , | передний | , | 99 725 км | 1.7 л (141 л.с.), | дизель, | робот, | передний, | 99 725 км",,99725.0,1.7,7.0,4 часа назад
"OMODA C7, 2025",3659900,https://auto.drom.ru/moscow/omoda/c7/862559138.html,Москва,"1.6 л (150 л.с.) | , | бензин | , | робот | , | 4WD | 1.6 л (150 л.с.), | бензин, | робот, | 4WD",,,1.6,6.0,4 часа назад
"Mercedes-Benz E-Class, 2020",3500000,https://auto.drom.ru/moscow/mercedes-benz/e-class/861951649.html,Москва,"1.6 л (160 л.с.) | , | дизель | , | АКПП | , | задний | , | 121 000 км | 1.6 л (160 л.с.), | дизель, | АКПП, | задний, | 121 000 км",,121000.0,1.6,6.0,4 часа назад
"Jaecoo J7, 2025",3129900,https://auto.drom.ru/moscow/jaecoo/j7/861669538.html,Москва,"1.6 л (150 л.с.) | , | бензин | , | робот | , | 4WD | 1.6 л (150 л.с.), | бензин, | робот, | 4WD",,,1.6,6.0,4 часа назад
"Jaecoo J7, 2025",3129900,https://auto.drom.ru/moscow/jaecoo/j7/861874284.html,Москва,"1.6 л (150 л.с.) | , | бензин | , | робот | , | 4WD | 1.6 л (150 л.с.), | бензин, | робот, | 4WD",,,1.6,6.0,4 часа назад
"Ford Explorer, 1997",330000,https://auto.drom.ru/moscow/ford/explorer/861268366.html,Москва,"4.0 л (205 л.с.) | , | бензин | , | АКПП | , | 4WD | , | 400 000 км | 4.0 л (205 л.с.), | бензин, | АКПП, | 4WD, | 400 000 км",,400000.0,4.0,0.0,4 часа назад
"Ford Kuga, 2014",1295000,https://auto.drom.ru/moscow/ford/kuga/861325453.html,Москва,"1.6 л (150 л.с.) | , | бензин | , | механика | , | передний | , | 120 376 км | 1.6 л (150 л.с.), | бензин, | механика, | передний, | 120 376 км",,120376.0,1.6,6.0,4 часа назад
"Tenet T4, 2025",1999000,https://auto.drom.ru/moscow/tenet/t4/861473876.html,Москва,"1.5 л (113 л.с.) | , | бензин | , | механика | , | передний | 1.5 л (113 л.с.), | бензин, | механика, | передний",,,1.5,5.0,4 часа назад
